Review,sentiment
the good things1 very well packed good amount of thermocols to protect from transport damages2 sturdy body3 relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something 1 easy opening of side frames to change pads or clean the water inlets2 water balloon used to cut water supply au,positive
excellent producthappy with resultnice air flowosm cooling,positive
cooler works fine and it is inverter friendly,positive
small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,negative
perfect product for large size room,positive
average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,positive
product was amazing cooling capacity awsum pls go for ahead a big thumbs up ,positive
good,positive
received dalay 10 days cooler is ok when i was reveived switch damaged,negative
big oneworking good 2days of use hope will work for long run,positive
good product nice air flow and no noice,positive
in this price good cooler,positive
is good for many,positive
it is an awesome product light weight easy to use and having lot of features,positive
the product doesnt cool as rated by other customers the cooling is very slow very wrost product i recommend to not buy this item wastage of money ,positive
looks like monster cooler it is working as awesome,positive
very nice product thank you flipkart,positive
very good,positive
good cooler it occupies more space looks very large but good for hall it covers all the places,positive
very impressive coolerpros stylish energy efficient 165 watt very good air throw and cooling summersible pumpcons very bulky take more place than other no wheel lack of ice box,positive
best cooler i bought 6884,positive
excellent cooler in this price rangepros1 air throw is very powerful even when u run it at slow speed setting 2 cooling and tank capacity3 ergonomics cons1 if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price,positive
cooler not provide cool air because 1year experience,negative
a good product in budget,positive
packaging excellent value for money product,positive
delivered within 2 days working good,positive
efficient for large roomspros1 low noise of fan2 inverter friendly3 cools large rooms fastly and easily4 it have aroma chamber in which you can add tablet of frangrance to counter smell of woodwool pads5 it have 2 section for air flow which means you can adjust it to get air for double decker cot equallycons1they should have provided stand of castor wheel for it to move2 it should have ice chamberwill update more about it in future,positive
better than the steel cooler less noise and value for money,positive
dont buy maharaja whiteline coolers they have cheap aluminum motors that are good for at max 2 years repair cost of these motors is so high that u would want to sell rather than repair them,positive
very nice product and delivery is satisfied,positive
no quality product1 the wood wool has started falling out from the next day2 out of two led indicator has found not working on arrival3 the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since 3 years4 the quality is no way machine to branded coolers5 anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,negative
air throw is very good it makes room very cool in just half an hour full tank capacity is 65 litres which stays up to 5 hours it makes big living room colder not very much noisy,positive
on time delivery received exact productthank u flipkart,positive
maharaja always no 1,positive
awesome product love this,positive
poar quality plastic material is not good,negative
value for money,positive
nice cooler,positive
fantastic product great cool,positive
dont buy just by seing the comments dont know how people review and rate the product cooling is ok but when it comes to fill the water you would need inlet pipe to fill the water we cannot open from the backsides to fill the watercleaning is highly impossible because there is no way you can open and clean worst design other small small branded companies provide all those facilities but this is worst product design totally unhappy with this product,negative
best at its price,positive
this is my review after using this product for a week1air throw is good2produce less noise3good product at reasonable pricebut it never open from behindnot easy to cleanrefill the watercable is short,positive
cooling fan problem,negative
after discount rs 7200 price is okquality is okdelivery as on time okmotor speed 1200 rpm okpump okcolour is ok look is also okwater storage is appx 65 ltd more than 3 large bucket is okstill giving 3 star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,positive
product is really worthy of price 8k however it occupied more space in room should one consider it before buy it worth for that money,positive
mind blowing very good for hall and for big wondow its really big in size quality is nice must buy,positive
good and sufficient size,positive
awesome,positive
good product,positive
best product,positive
very good,positive
good product delivery on time ,positive
nice product deliver in time,positive
i honestly liked the productbest desert cooler at lowest price i got the deal of 6889nice brand good built quality with precision to eachgood switches and knobs to controltakes space as its hugevery silentnot high but good speed fan to cool upto upto 12 feetno ice tray but its not a mattergo for it,positive
dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,negative
awesome product,positive
very good product,positive
valu for money,positive
nice to,positive
worst product fan speed very slowlike nothing,negative
best product,positive
big size mostly like industrial cooler but within this price and my house is big it is perfect no wheels but can buy stand and it works fine if you have close home and less space go for other options,positive
very bad service by flipkart customer care representative and jeeves agent too much bad performance no cooling just like a stand fan,negative
oh really really very good i am so happy,positive
low air and not cooling as axcpected,negative
super cooling system,positive
very nice working,positive
excellent performance,positive
good ,positive
wonderful product can go for it,positive
really desert cooler super cool ,positive
very good product water flow must be slow from pump but its okay,positive
water inlet is not good,negative
awesome,positive
owsum product,positive
not so good,negative
cooler is really very good but use any cooler ventilation os a must without ventilation no cooler will work especially in rainy seasonproduct is original was delivered safely this review is after a week,positive
ice product,positive
not working motors and very bad poor maharaja cooler,negative
very good product worth buying,positive
good product,positive
fan speed is slow and making lot of noise,positive
nice cooler perfect for hall,positive
very good cooling,positive
awesome,positive
awesome,positive
nice product,positive
good aircoolr,positive
nice,positive
good condition best cooling,positive
good product,positive
good,positive
superb nice coolingsimply awesome unbeatable at this price range,positive
build quality is better than symphony jumbo 70however cooling is a bit lesser and noise a bit more than symphony jumbo 70a larger tank capacity of 90100 ltr with aspen pads is desirable,positive
product quality is very bad and fan blade broken air flow average,negative
good product,positive
nice product,positive
amazing,positive
this cooler is not not cooling the room,negative
excellent,positive
cooling system is good,positive
speed of cooler is slower than fan after one week of use,positive
awesome for big rooms,positive
cooler is good but sige is big colling good prise 6500the cooler is good but its airing speed is lowmakes very little noise and is good to watch,positive
good product,positive
very good product in all respect it is one of the best desert cooler in the market and finally thanks to flipkart product designer manufacturersit looks simple but cooling effect is amaging ,positive
very good,positive
awesome,positive
not satisfied with the cooling very bad cooling,negative
i think that it is small but it is big and colling is excellent,positive
very nice product i am happy,positive
i like it it is good,positive
good,positive
the product is very good and the product was delivered on time,positive
very nice,positive
as expected its fit to 150sqft room cool air,positive
fan speed low and do not proper cooling,positive
excellent ,positive
good but its too big,positive
superb cooler it cools room within 5 minute amazing cooler amazing price,positive
good quality product drain system needs improvement,positive
best cooler in market,positive
smart cooling we are using the cooler in fan speed of one feeling like winter thanks maharaja,positive
thanks,positive
fantastic product thanks maharaja filpcart,positive
awesome ,positive
very useless service,negative
good,positive
occupies space but is worth it,positive
nice cooler with strong and quality built using it from last 2 months,positive
if ur staying in hot city this is waste dont buy,negative
excellent,positive
cooler is good but very dirty smell ,negative
not effective cooling fan area of effect is also very narrow not ideal returned it,negative
awesome,positive
very bad product its water tank is not sufficient for a day tank empty in 4 hours and not open easily for cleaning,negative
wrost cooler ever purchased not even 10 feet throw build quality is not upto mark purchase another good brand cooler instead of this,positive
good working in maharaja,positive
nice cooler you can go for it,positive
fabulous,positive
value for money,positive
good but how to wash the cooler its tension,positive
nice products,positive
fan speed is low but great cooling,positive
good cooler for big rooms water lasts full night works best with cross ventilation highly recommended,positive
very good and smooth working all functions are very good but wood grass all side bad improve side honeycomb cooling pad,positive
waste of money ,negative
not god air thorw not god quality not accepted,negative
cheap and best cooler even good for extreme summer,positive
nice product,positive
i am very happy,positive
nice,positive
air throw weak,negative
super,positive
best,positive
just awsm its cooling beats many expensive branded cooler price is also very decent comparing other coolers,positive
good,positive
its a big coolerair throw is good cooling is also good build material is sturdy water inlet shuld be little bit big overall i am satisfied with the product,positive
good cooling low noise better daily change the water to avoid smell separate water hose required for water loading,positive
good quality,positive
very good in time delivery beautiful organization from flipcortthank you,positive
very bad product bad quality low air flow not useful product waist money before 100 time think purchasing this product this product r not refundable all flipkart assistant was misguid,negative
delivery of the product is amazing as usual and delivery person is also very helpful,positive
i am writing a review after using it for 4 days this cooler is very nice size is jumbo cooling starts in the room after a while at night,positive
i am giving 4 star but its deserv 10 out 9 i m cutting 1 star due to stand and water indicator once stand n water indicator will include this will be become the best nice air cooling super design power air throught range no sound overall worth to buy,positive
nice product,positive
yes its quite goodyou can go for it nicely deliveredthank you flipkart,positive
value for money,positive
very good,positive
very poor product and heavy smell through out the room received damaged,negative
this is aws product at healthy price its worth to buy,positive
very nice ,positive
i was vary of buying coole online as i cannot check the airflow or faults before purchasing but this cooler really changed my mind i did extensive research watched reviews and at the end selected this this is a beast of a cooler the airflow is absolutely amazing for this sizzling weather this cooler really throws cool air one advice always keep your coolers in a fully ventilated area like outside a window then you will see how great it works this was a great purchase and if you a,positive
nice,positive
very good product very nice cooling,positive
good one very less noise,positive
good,positive
its greatworks like an ac,positive
best coolerlow noise and better cooling,positive
super,positive
delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,negative
awaesome cooler it is better than symphony,positive
flipkart delivery very nice and product in this time good,positive
cooler is so good and cooling bestthank you flipkart,positive
good one,positive
nice product cooling air,positive
best air cooler ,positive
after use of one week in extreme conditions i feel this cooler works very fine strongly recommend to buy this product,positive
looks good purchase and economical tge power cord should have been 5 meters or 6 meters length instead of existing 2 meters given the huge size if this desert cooler,positive
its best small family,positive
extremely horrible servicedo not order,negative
extremely good productgood product for lower floor and not good for the top floor,positive
verry good indian fast desert coolar verey verry nise product,positive
air cooler is better im happy recived your product ,positive
good product,positive
we found inside fan bed will not fixed properly and also bolt nuts fall inside further remaing all ok,positive
nice product,positive
awesome product,positive
good cooler,positive
very good product on very first day it fell on the floor from table with full water but quality of product is too good still working thankyou flipkart ,positive
fantastic cooling,positive
nice cooling,positive
please share a good operating manual how are we supposed to flush out water nothing like mentioned also dismantling back needs a specialist please design in such way where even elders can operate,positive
worst product dont waste your money,negative
excellent product,positive
nice cooler awesome product,positive
blade of cooler fan is broken,negative
air delivery is very bad not even cooling 10x13 room,negative
very nice,positive
its more than my expectations iam so happy and as usual excellent flipkart service,positive
worst model all user please dont buy,negative
not good,negative
super,positive
nice product,positive
overall good product cons come without stand,positive
good product nd fast delivery,positive
good bt without wheel or stand very difficult to move,negative
best product with resionable price,positive
good,positive
nice product,positive
coling is best another cooler,positive
coolar is good but suggest that i thinks wheel also provide in coolar for easy movement,positive
good to go,positive
very huge in size cooling no good feels air just like normal fan,positive
awesome,positive
worst,negative
cooler chilled the room very fast,positive
its good but size is too big,positive
its huge and secondly its as good as ac but the problem is you cannot control the cooling its good if you have a 1500 sqft house,positive
it is perfect for your daughter marriage items no doubt it is big and it is room cooler,positive
amazing product it works wonders in 45c and always go for wood woolen pads as theyre better than honeycomb,positive
very good product dont think much more go for it absolutely value of money,positive
it is big moving it is problematic it would have been easier to clean if the side panels were easily removable does a decent job of cooling the room,positive
good product,positive
its very good products in online its very well,positive
good,positive
its a very poor quality product dont buy its,negative
good with price,positive
too good product,positive
excellent cooler happy with it,positive
very good product in low price its our second plastic cooler and i am happy with its cooling and other features in future i definitely buy it again and recommend to others also thanks flipkart,positive
worst product ,negative
plastic quality is not that strong as of symphony coolers,negative
very good product,positive
not upto the reviews build up level too bulky quite noisy lack of wheel is biggest disadvantage buy at your own risk not happy overall,negative
nonetheless i gives the feel of ac,negative
this product does not cool as much as it was written in the advertisement i am not so happy with this product,negative
good,positive
yup satisfied ,positive
air flow is not that good,negative
no stand and little noisy cooler,negative
very nice product,positive
good onebut still sounds generated by cooler are very noisymust buy stand with this cooler ,positive
nice product thanks to flipkart for early delivery special thanks to delivery boy for gentle behaviour ,positive
nice product with decent price,positive
prompt delivery satisfied value for money,positive
its awesome cooler,positive
good,positive
good product but the only drawback is to clean it the nob in bottom available to drain water but that is not helpful if you dont have trolley,positive
excellent product water consumption is good if anyone plan to buy cooler then i recommended only the rambo,positive
best cooler heavy duty stong body,positive
good product,positive
product is very good quality of product is also goodthanks flipkart for providing safe and on time delivery,positive
not cooling,negative
no expected speed and not cooling this product,negative
there are no wheels to move coolerits very hard to place cooler after filling waterhorrible experiencedont go for this,negative
have one or two very small negligible issues otherwise product is very good completely cools the room,positive
fantastic coolar nice cooling like ac,positive
nice product cooling and speed is good,positive
good,positive
superb cooler in this price,positive
awesome,positive
please dont buy this productafter 1 month fan is not work properbuy blower fan cooler blower fan cooler is best,positive
nice cooler cooling awesome,positive
very nice product,positive
super cooling,positive
excellent product,positive
nice prodouct,positive
excellent air cooler,positive
good air cooler value for money sound is very less build quality need to be improve,positive
super very good product,positive
nice one no need of ac,positive
fantastic cooler in this range chilled more than expected,positive
good,positive
simple super,positive
good product,positive
working great three side cooling pad has increased its efficiency the fan speed and airflow amount could be better it is very difficult to put water from the front a lot of design flaws but at this price point its better than other brand products for optimal comfort and cooling the cooler needs to put outside the room in an open space or near the window of a wellventilated room,positive
awesome product if possible pls provide wheel stand with product,positive
good product the only draw back is there is no space for putting ice,positive
unable to open to change water or grass,negative
nice product with good blower and fast cooling a real satisfaction for money,positive
dont buy any one,negative
built quality is good but fan is not much powerful as expected it is good for small room i am going to return it,positive
this is best air cooler within 8k price tag,positive
cooling is perfect,positive
good quality,positive
awesome in everythingvalue for moneynice cooling,positive
very good product in this price,positive
minimum price maximum performance,positive
fantastic products in such low price go for this without hesitation,positive
superb,positive
very nicecooling very goodsize big,positive
nice product,positive
first thing cooler is very silent at the lowest speed noise is minimalsecond all the other things is equivalent to 1015000 price cooler,negative
very nice product i am satisfied this order,positive
wanted to give 5 but to handle this huge cooler atleast it should have wheels at the bottom unfortunately its not available,positive
nice product,positive
awesomeproductbest cooling,positive
very very nice product,positive
product does not working defective please return,positive
best performance and minimum soundthanku flipkart,positive
superb go for it,positive
wonderfull,positive
good productdelivered in few days,positive
no doubt it is good in this price,negative
awesomefull satisfied,positive
excellent cooling at this price rangedelivered as per the date expected,positive
good,positive
veri nice desert cooler size of the cooler exceed the expectations timely delivered,positive
thank u flipcart for quick delivery,positive
thanks to flipcart very fast delivery boys are with corona precautions best cooler but need to give more plug wire and stand this is not a cooler feel like ac,positive
dont buy this product total waste of money and time fan speed slowly decreasing and cooling is not that good consistent,negative
one of the best cooler good use plastic meterialbest cooling,positive
very good product,positive
value for money good,positive
its good,positive
good man,positive
superb cooling,positive
super ,positive
perfect cooler as its name maharaja and gives very cool air in hot and dry climate,positive
super cool and quality,positive
excellent team safe hygiene deliveryproduct working really great,positive
noiselessair pressure n speed awesomecooling like acreally worth it product colour design all r decent,positive
product is good and the behavior of delivery boy is also good nice product flipkart thankyou,positive
nice product in this price,positive
cooling best minimum sound fan speed goodbut some parts of the cooler are missingno service avaialblewe called flipcart they didnt respond properly finally we got the spare parts from local service shop,positive
low on noise high capacity big inner space for cooling,positive
good product and nice coolingbut its accupy large place it suitable in hall,positive
best cooler i got it for 7k ,positive
good but there is have no stand thats much desopointed,negative
very cool,positive
nice cooler,positive
excellent but its big sound as compare to others cooler,positive
very nice product go without second thought it is far better than 70 l also as pad is wood wool it is better than hone bee its chilled the room within 15 min purchase blidenly,positive
nice cooler in this range ,positive
cooler is good and nice coolingnice service nice coolling,positive
this cooler is cool ,positive
everything was superbonly this was it doesnt have wheels under it,positive
nice cooler,positive
excellent cooler received it two days back it makes my room very cool even in mumbai the delivery boys were also very polite prompt delivery,positive
not good water leaking after one month return period,negative
good produt,positive
good,positive
affordable and best quality,positive
good,positive
excellent,positive
not support after shell warranty,negative
thanks ,positive
good cooling minimum power consumption over all good,positive
good product but no instructions it is very difficult to clean it so i think its better to give instructions to open and usage also,positive
super,positive
amazing purchase,positive
rh levels getting down at room may be due to wooden cooling padsentire human body getting sweatlocal made is better than thiswaste of money,positive
send damage product dont buy,negative
great product,positive
excellent cooler excellent air flow super cooling almost silence functionsturdy bodysmart looking coolerthank to maharaja white line and flipkart,positive
its just take lots of water,positive
very nice best cooler must buy,positive
its simply awesome all in one just go for it,positive
plastic body is weak rest everything is good,positive
overall product is good only problem is to move the cooler it doesnt have wheels and also water inlet is provided in the bottomnice product,positive
superb cooling,positive
one of the best best product,positive
good cooling,positive
i am so happy for this purchase quality of product is very good,positive
nice product,positive
nice,positive
built solid cooling super effective it has water indicator fan is very sturdy as well have been using it since few days overall quite satisfied untill now proper desert cooler powerful,positive
very nice products,positive
its too good boss i am very happyi was purchased in 6434rs in 31mayi recomded this product in air cooler but its too large so pls saw the image than purchased,positive
fan speed is maximum 3 hoursthen slow action speedcustomer care support badnot responcedont buyu think buy other brands,positive
good,positive
very good,positive
perfact,positive
nice cooler,positive
very nice cooler after using for constant seven days today im writing itits worth the money ,positive
nice cooler at this price,positive
good but not exact what i expect,positive
nice product big sizeworth of money fast delivery,positive
worth it,positive
nice cooler,positive
v good cooler,positive
i love it,positive
very fast delivery thank you,positive
good,positive
good item,positive
it is working well and cost i think is some high but product is so good,positive
good one,positive
awesome product by maharaja whiteline,positive
very good product,positive
i loved this item worth the 7500 rupees its too big than whatever we expected ,positive
product is good not got suitable stand,positive
nice cooler,positive
good,positive
best in my room,positive
nice super,positive
good cooler,positive
very nice recommended,positive
item is vry bad i hate flipcart item this watch is,negative
good productbuying worst,negative
its very powerful and best workingi like it but size is issuevery big sizes,positive
working properlylike this cooler,positive
nice product superb cooling and supersilent,positive
overall product is very nice only drawback is it is large in size,positive
super,positive
very good cooler feeling like ac in summer,positive
i love it,positive
please take care of size before purchasing otherwise product is great i buy it in 8000 with 2 years of extended warranty,positive
its work awesome luv it,positive
good product as expected cooling room more than expected thanks to flipkart for fast delivery and genuine product,positive
worthy,positive
good,positive
good delivery value for money best cooler ever,positive
built quality is very good there is no light indicator in this cooler,positive
god quality,positive
good,positive
you can also buy without any hesitation ,positive
nice product working is good,positive
very good product,positive
nice product value for money,positive
very nice cooler gives cool air even without any water thoughtfully made by the brand maharaja whiteline well done maharaja whiteline and good job by flipkart for delivering such a big appliance without any damage ,positive
very good air cooler,positive
good product,positive
very good product,positive
very nice,positive
very good item very nice thank you flipkart,positive
great deal perfect cooling,positive
awesome product,positive
the cooler is really nice light body with decent air throw real value for money,positive
gud,positive
its good preoduct nice,positive
best then voltas symphony and other brands but without trolley which i made myself,positive
excellent cooler,positive
speed not good very slow,negative
good quality,positive
good product,positive
amazing n big air cooler i love it,positive
very good product,positive
nice,positive
using from a month now and results are good,positive
good product,positive
in fact product performance is very good but it occupied lot of space since which is huge in sizesmall rooms are very difficult to accommodate and also fan gives more sound since motor capacity is powerful even in low speed 1and also drain points at bottom of cooler so which is very difficult to drain water and always need to lift to cleanchange the water more over main drawback is product does not carry stand and need to purchase separatelyapart from these every thing is pretty w,positive
awesome product go for it genuine price affordablegood working low noise good delivery,positive
waste of money dont buy,negative
nice working with great colling it has low noise and cool air it cools hole room it is very nice,positive
nic,positive
very nice ,positive
good product if u r searcing cooler in this range its best product good cooling i recommend it,positive
good product,positive
i am using this cooler for the last 3 months at first month it was working fine but after that the cooler is not colling at all i dont know what wrong with it,positive
unhappy ,negative
good,positive
nice product ,positive
cooler body is very weak,negative
very good,positive
good product,positive
nice cooler good fantastic cooling not less than air conditioners,positive
nice product,positive
good,positive
nice product good job,positive
value for money,positive
bad,negative
product is good i give 3star,positive
very best at this price true value for the moneybut delivery was too delayed took 8 days to deliver,positive
very good cooler in this price,positive
superb,positive
got it for 7200 value for money,positive
defective product,negative
great product at that price,positive
nice products but one problem brod size,negative
great cooling,positive
performance wise is ok cooling is good but the cooler plastic body quality is not very good,positive
poor air throw dont go by reviews present its not even throwing till 15 ft,negative
very bad product very noice service man is bad responsei hate this product do not buy this waste of money,negative
awesome product but did not get any remote and stand of cooler,positive
good product,positive
indeed a good one but if can think of changing kush to a little better quality,positive
awesome,positive
capacity of cooler is not 65lt water indicator not work,negative
awesome product must buy it,positive
nice and but the room is not so cool a i dont know why,negative
bad quality product,negative
awesome quality,positive
nice and super cooling,positive
good purchase at this range of price,positive
super,positive
very good ,positive
actual fan motor 91 waat and rpm1350 this is true,positive
good product ,positive
worst cooling normal table fan is better compared to this no cooling,negative
superrrrrr,positive
best,positive
nice product with super cooling,positive
good product and great cooling,positive
i ordered this for me parents in north india and they are chilling nin this scorching june,positive
good product,positive
after use of one day i and my family love it,positive
i bought it for rs 6900 and its awesome,positive
very satisfied i gifted to my father ,positive
go for it if u want good cooling and good air delivery,positive
marvelous product ,positive
nice cooler cools the room even at 45 temperature surely go for it,positive
outlet valve is missing well talking about cooler you wont regret something like this at such price segment even cooling is well satisfactory,positive
cooler is good good cooling fan speed triple slow,positive
good super cooling,positive
absolutely useless product please never buy it even after technician coming and checking that the product was not working still the exchange was not accepted a big scam by flipkart total disgrace,negative
grt working as said in the product it doesnt cover 700sqrfeet it does cover almost 10to15mts,positive
very good experience,positive
good price will go to upto 7k a full tank will go upto 67 hr,positive
good productand add ice box remote control panel better,positive
go,positive
fan speed is slow but cooling is okay ,positive
excellent,positive
best cooler under 10000 range,positive
super cool thanks flipkart,positive
beyond the requirements imagination excellent cooling sound is bit high may be coz its my 1st aircooler,positive
nice product and nice delivery,positive
best in its class,positive
nice product,positive
cheap and best really awesome one,positive
i buy it 6200in this price it is good but coolar size is too large,positive
good,positive
best cooler ever ,positive
good,positive
more noise and some times lightly bad smell actually no proper cooling,negative
no need of ac instead of this maharaja rambogreat cooling,positive
nice,positive
its good for mid size room apart from cooler design and plastic body electrical accessories are of average quality one concern nowhere given in manual how it will be opened and internally cleaned,positive
nice cooling,positive
better than expected air throw is really good to cool 400 sqft space it takes aprox 25 minutes in bangalore overall good buy,positive
the best product that i bought from flipkart it works superb super cooling low noise like ac,positive
not at all goodit makes such a soundits like you siting in a cinema theatre with a fan 90sdont buy it pls only sound no cool air,positive
used for 9 days feels good one now not sure after a month or an year will keep updated,positive
best price best product,positive
cooling air awesome but little noise,positive
cooler size is big but its cooling functionality and fan qualify is not good it feels like a normal fandont expect much thing from this cooler better to buy some another desert cooler,positive
not go for negative comment its size perfect for room i also used for two three days perfect working not a weak motor if u buy that blindly purchase its dont get u sad,positive
very niceon time delivery,positive
thanku flipkart nyc product,positive
fan speed is slow every thing else is perfect,positive
very nice and perfect cooler in this range thank you very much flipkart team for provide us but one thing its not working in 40 to 48 degree temperature,positive
cooler is good but size is very bigand trolley are not provided,positive
very smoothgood product,positive
if you can provide trolley wheels stand along with the cooler it would be awsome and 5star product it is bit difficult to find a stand for this particular model as it is a jumbo one,negative
the item is just perfect and my mom has this since last 3 years ans now i have this too perfect product,positive
great qualitycooling is nice,positive
nice product,positive
super cooling capacity excellent desert cooler,positive
not that good that mentioned,negative
writing after using this air cooler for more than a week pros1 best pricing compared to other coolers with overall same specifications2 the body looks durable and attractive3 less energy consumptioncons 1 the motor doesnt feel that powerful2 makes more noise compared to my old symphony jumbo 70 lconclusion according to me if someone is looking for a branded plastic body cooler with an overall nice performance and also in range of 7k they must go for it,positive
its awesome cooler huge cooler like bahubali super tough body and serve it purpose of cooling big space in no time very happy thanks maharaja and flipkart,positive
finalize in 65k so very nice budget cooler ,positive
ok fine work,positive
worst cooler ever poor cooling fan speed is too slow even my normal ceiling fan provides better air worst product from maharaja and flipkart sad part is they do not refund the money as well only replacement option is availablevery disappointed from flipkart,negative
worst,negative
i am happy,positive
thanks i happy,positive
superb,positive
super,positive
nice worth for money,positive
cooling is ok fan speed is good must buy if u want best cooler in summer fantastic delivery too,positive
cooler is good for a big roomonly thing that i didnt liked is the the inlet given for putting water manually inside the tankthis cooler is only feasible if you can buy a inlet pipe which should be used to fill the tank by connecting it with tapso for all the buyers please keep that thing in mind before buying it because that point is not mentioned anywhere in the descriptionfan speed cooling capacity and rest of the features are excellent,positive
i got 7199 best in segment,positive
good product in this price,positive
pros big in size give cool air good air flow not too noise and better than symphony jumbocon no stand and problem in water filling because the cap is small,positive
durability is questionablecooling is normal,positive
very good cooling it will really cool the room very efficientonly demerit is the lack of wheels u need to get a trolley if u want to use it movable,positive
superb,positive
very nice product,positive
product is very powerful cooling capacity very good ,positive
not up to the mark in didplay front side l1 l2 blinkings are displayingbut the same is missing in productfan speed is not up to expectations and cooling also very lessfeeling humidity in room over all experience is average product i can give 3 out of 5by seeing previous reviews and experiences i had bought it but i dont recommend to others,negative
very nice productfeel cool like acbut trolly should be provideddifficult for movingany how thanks to flipkart for quick delivery within 3 days at this lockdown,positive
nice coolingnice product,positive
best cooler i have ever seen,positive
super,positive
cooling 55noice 45quality 55over all a good producti happy with this 495,positive
good condition,positive
good quality cooler in suitable range i got it in 7199 only,positive
good quality and delivery service very good thanks flipkart,positive
good quality product cooling superb water filling only through water pipe nice design but no power main switch no direct power on off switch extra cooler stand required,negative
good one nice cooling best for mid sized room in summer power bill also reasonable,positive
very very good,positive
best cooler in under 7k,positive
good,positive
nice product i am happy with this product,positive
very effective for this summer,positive
this item is superb and excellent,positive
awesome air cooler but they should provide stand or wheel with the product,positive
nice,positive
well bulid quality and excellent cooling air but the water pump is not that good,negative
great cooling at night but creates humidity in noon time but i am still glad as i need blanket in summer also,positive
size is too big useful for functions only making too much sound,positive
good product,positive
with in 1 month fan blade broken suddenly noisy and vibrating cooler,negative
very effective for cooling big rooms and spaces only drawback is the size of the cooler,positive
worst experience with flipkart,negative
nice product from maharaja thanks to flipkart for fast delivery,positive
ok good,positive
good product,positive
good,positive
nice cooler,positive
good luck,positive
good,positive
good,positive
nice,positive
nice coolar,positive
awesome product ,positive
super quality,positive
thanks flipkart,positive
working as expected,positive
supee,positive
super,positive
good brandproduct speed high acceptable and body high quality thanks flipkart,positive
super duper ,positive
super,positive
good,positive
decent purchase,positive
very great experience,positive
bad bad quality and bad courier service,negative
good air throw,positive
good product,positive
very bad product totally vest of money,negative
amezing,positive
good,positive
good,positive
good,positive
super thanks flipkart,positive
good product,positive
large space neededworking good,positive
nice product,positive
very nice product,positive
not working properly not able return also so for me it is verry bad product it should be returnable product cause if it is not working properly people have choice to book different one very bad product,negative
